Yanhong Feng
Aug 29,2017

email:qinfyh@163.com

uncorrelated instance with dimension=800

p=96,15,86,55,82,63,47,72,65,21,50,22,37,27,75,42,76,70,83,27,36,85,30,29,64,11,59,16,78,26,91,22,69,19,86,56,93,61,25,41,
31,42,11,91,97,48,37,29,11,51,40,84,14,92,56,59,48,28,65,54,45,25,74,51,96,36,66,27,70,55,95,12,88,24,83,74,61,79,21,61,
65,83,71,84,57,56,89,86,11,75,38,49,73,61,80,33,97,34,73,47,55,45,57,17,36,84,72,44,90,48,40,33,61,47,73,56,69,80,29,20,
54,10,44,68,90,40,11,67,27,91,43,91,69,67,54,64,16,66,18,52,75,57,94,87,90,99,71,35,34,70,49,20,99,47,52,65,80,54,19,25,
91,22,85,84,25,49,79,22,63,34,45,76,99,31,26,14,60,58,48,65,37,75,74,61,19,11,89,80,48,71,52,16,82,14,17,97,19,83,22,35,
79,28,55,70,99,30,98,28,15,33,63,72,60,59,73,61,36,15,44,16,20,61,30,39,15,84,11,38,29,97,23,87,23,95,84,84,10,52,51,60,
51,28,74,41,34,62,100,65,43,88,20,41,46,94,99,73,88,18,25,38,50,51,50,44,31,66,38,68,13,27,22,26,85,23,27,38,59,28,81,54,
11,64,49,36,32,79,81,67,67,31,13,25,28,40,83,97,40,34,85,65,52,50,25,88,94,60,80,99,17,20,58,12,27,44,50,63,10,62,35,96,
84,34,37,41,89,58,49,43,75,83,51,24,66,69,74,78,71,47,86,25,11,17,98,43,15,32,37,55,87,61,76,76,68,38,11,21,51,70,30,31,
50,28,27,58,77,68,55,62,73,92,89,27,76,45,54,77,14,53,51,66,70,50,42,16,34,84,94,96,40,98,46,58,70,25,38,33,27,71,92,53,
66,11,27,76,22,29,29,51,17,31,95,48,44,67,20,49,42,92,97,32,75,43,14,28,100,33,71,85,52,12,42,35,80,91,89,83,81,95,10,57,
82,77,72,38,11,44,68,13,51,31,34,87,10,73,70,67,55,64,23,63,35,37,78,14,29,78,16,93,93,89,35,43,44,39,86,70,66,80,63,82,
93,50,37,86,91,81,39,12,50,14,24,54,48,46,43,83,49,39,89,56,33,87,91,61,55,70,16,20,30,12,89,11,50,76,40,11,11,77,59,27,
77,94,59,61,28,71,97,38,42,17,89,84,78,47,22,17,61,53,80,52,74,79,36,21,36,29,11,83,88,57,67,90,53,47,90,61,91,88,69,92,
26,52,23,43,37,51,76,11,23,68,31,51,82,69,61,96,66,64,50,59,81,96,32,57,71,64,30,92,69,27,31,88,65,46,53,51,79,100,38,93,
46,48,73,73,70,61,47,44,71,27,68,51,93,86,84,93,20,24,66,95,99,60,94,20,97,65,56,24,91,75,99,33,26,56,61,92,92,55,31,11,
95,87,44,59,35,82,77,72,73,86,97,51,86,43,71,64,91,85,96,41,53,11,21,80,79,70,51,21,54,32,68,61,10,25,66,35,79,67,47,79,
93,57,88,50,52,15,34,18,76,25,70,47,43,48,100,33,78,97,68,46,92,64,95,44,70,26,73,79,100,94,30,24,81,57,70,15,44,82,37,96,
47,28,87,73,15,64,50,13,53,25,89,92,66,64,97,89,81,64,32,37,51,84,73,84,21,67,63,75,43,22,72,64,56,68,66,53,40,50,71,84,
91,71,64,66,99,14,94,65,60,100,10,10,76,61,15,56,84,12,42,47,83,98,87,14,18,25,56,69,58,57,70,40,29,11,72,99,55,57,95,94,




w=28,95,29,95,97,12,27,10,98,40,24,81,90,61,18,86,78,56,13,98,16,96,99,47,11,14,56,31,71,41,99,66,67,31,18,96,38,51,68,33,
71,86,69,40,71,82,100,46,54,35,47,69,51,65,67,23,44,18,43,46,75,65,72,48,68,51,90,11,63,35,64,100,79,38,36,51,10,26,100,74,
94,33,14,74,15,100,74,69,84,14,18,10,82,19,50,25,51,76,73,21,79,81,31,96,77,82,66,45,15,18,42,42,14,81,71,40,49,66,55,36,
41,13,30,95,64,20,89,17,68,18,50,21,22,24,16,16,13,10,95,75,69,10,83,90,12,36,14,78,90,31,31,35,20,67,99,10,71,57,49,17,
64,10,70,62,45,66,53,79,37,47,89,55,15,47,44,84,61,64,53,91,83,82,95,73,19,73,96,62,54,92,50,71,86,70,46,25,84,43,85,89,
66,62,38,90,29,22,55,98,70,84,45,13,44,60,32,22,43,97,21,25,44,68,21,37,91,33,25,47,91,39,68,56,25,58,84,85,78,80,20,17,
10,77,37,78,26,38,36,75,42,89,33,30,43,34,94,90,82,46,54,13,37,26,72,85,79,74,85,27,79,62,32,35,13,93,21,68,24,85,64,77,
99,83,75,44,16,22,15,81,95,12,42,39,54,81,67,56,82,76,96,53,43,58,37,98,63,75,65,56,69,26,52,62,38,81,86,39,60,38,30,21,
91,68,96,76,10,30,33,31,54,76,77,91,98,45,89,97,44,72,43,18,74,29,68,37,72,76,87,74,98,77,55,84,84,39,31,12,57,64,46,50,
73,32,21,24,81,46,26,27,18,87,69,38,41,12,68,20,33,99,39,69,25,59,52,100,98,66,20,88,25,20,16,95,31,77,16,42,93,81,37,63,
50,23,16,97,11,22,93,33,71,76,95,32,32,63,82,14,41,28,80,96,84,15,93,50,60,100,69,77,22,44,79,50,63,49,40,77,50,13,67,67,
73,69,21,27,89,31,21,74,56,96,85,49,63,60,49,44,98,63,37,51,52,63,31,10,80,23,20,100,78,88,14,48,94,63,62,37,14,87,95,58,
65,96,25,80,42,94,11,98,30,69,52,86,57,28,99,47,53,96,26,58,75,47,70,36,65,28,53,88,38,87,25,100,40,20,22,26,97,72,10,28,
37,84,92,65,75,45,43,67,75,77,67,26,24,17,18,46,43,33,72,16,100,26,40,72,99,84,72,54,52,84,80,65,28,39,88,47,11,82,84,71,
87,94,22,24,98,56,73,59,16,41,15,56,54,94,58,48,79,56,34,54,42,15,53,54,14,15,22,92,40,32,28,95,43,66,39,88,60,93,72,32,
20,38,66,12,24,18,90,87,97,90,59,51,55,33,59,44,44,67,51,47,76,16,52,17,99,59,52,11,10,91,32,92,98,91,54,66,95,45,99,75,
36,34,34,36,24,11,64,82,28,41,51,39,86,28,35,92,91,46,86,36,69,38,74,27,28,27,16,67,40,64,46,84,75,97,49,15,91,52,16,46,
18,58,30,98,38,24,24,70,24,15,88,44,83,14,43,70,26,54,90,36,72,95,31,98,93,64,62,95,32,22,53,72,68,11,33,46,66,18,14,45,
46,24,74,96,12,86,38,71,68,75,87,90,88,65,15,97,43,78,73,78,10,99,75,43,70,36,61,13,100,24,56,38,81,20,99,37,73,94,77,47,
40,29,59,30,42,90,31,84,10,97,52,79,65,59,59,24,93,21,78,18,69,60,88,22,52,18,33,35,92,90,66,60,52,46,97,23,95,71,84,23,


C=33367


uncorrelated instance with dimension=1000

p=81,25,12,63,100,11,72,74,38,36,60,63,34,85,49,45,54,71,14,91,51,25,88,47,34,42,53,10,69,52,49,74,77,64,43,41,58,74,80,52,
49,65,100,74,14,12,99,48,81,30,20,61,76,37,47,53,47,83,44,84,46,72,51,48,76,29,35,73,28,29,84,23,74,22,30,93,27,42,77,38,
74,67,13,74,99,53,14,62,82,30,73,63,91,89,75,75,99,18,49,60,64,63,64,67,81,98,16,65,48,56,50,99,72,38,42,69,51,51,86,17,
96,80,14,33,38,57,18,33,60,35,78,41,56,78,89,62,59,35,13,99,97,56,82,29,88,74,82,33,26,23,93,84,21,41,86,21,66,92,12,39,
74,59,20,20,51,96,17,65,73,85,32,60,60,39,33,30,71,13,86,61,88,68,68,12,18,78,13,47,100,84,54,35,77,93,76,57,68,41,47,26,
22,47,38,19,75,80,71,66,15,60,32,46,90,33,12,30,56,51,81,100,76,63,73,19,27,100,80,93,59,45,78,77,43,71,20,93,43,57,16,78,
39,29,74,20,94,24,93,92,37,56,97,96,87,76,68,42,85,58,88,96,43,17,65,15,98,12,50,78,33,11,41,32,51,61,42,86,63,93,14,78,
81,67,21,41,60,66,16,65,14,64,41,89,64,49,85,68,84,34,74,25,85,97,72,74,84,28,61,19,87,26,58,69,43,79,49,26,56,88,61,28,
36,85,56,76,20,78,63,100,92,70,53,99,53,38,80,68,30,19,64,43,56,14,81,58,73,96,99,16,78,78,12,69,28,27,79,17,89,36,22,80,
82,79,18,44,57,23,30,93,36,63,88,45,11,92,53,14,18,59,78,41,93,59,96,71,23,92,82,67,74,70,29,90,61,10,78,56,26,52,64,43,
